Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
331 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.26819183
332 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.43201667
333 51.9 63.0 -11.1 41.52 -34.0 1 0.33484193
334 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.31123581
335 53.0 68.4285714286 -15.4285714286 50.35 -26.0 0 0.37485839
336 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 0 0.7613284
337 51.9 63.0 -11.1 54.495 -14.0 1 0.54083986
338 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.16047559
339 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.2972222
340 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.1418084
341 51.9 63.0 -11.1 46.71 -26.0 0 0.4362017
342 51.9 63.0 -11.1 57.09 -9.0 1 0.17414263
343 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.16632385
344 51.9 63.0 -11.1 51.9 -18.0 0 0.39510845
345 55.4 67.1666666667 -11.7666666667 60.94 -9.0 1 0.13153311
346 51.9 63.0 -11.1 54.495 -14.0 0 0.31390075
347 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.0996634799999
348 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.40169472
349 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.25162376
350 51.9 63.0 -11.1 54.495 -14.0 0 0.75731936
351 53.0 68.4285714286 -15.4285714286 53.0 -23.0 0 0.68100074
352 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 0 0.86621443
353 55.4 67.1666666667 -11.7666666667 49.86 -26.0 0 0.83170121
354 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.5601097
355 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 0 0.63736208
356 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.21587885
357 53.0 68.4285714286 -15.4285714286 47.7 -30.0 0 0.30458962
358 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.15481227
359 53.0 68.4285714286 -15.4285714286 50.35 -26.0 0 0.26633563
